"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"CONN_03";"1X03";"J1, J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"";"CONN_05X2NO_SILK";"2X5_NOSILK";"HALL_SIM";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"2";"";"CONN_05X2PTH";"2X5";"MOTOR_INPUT, MOTOR_OUTPUT";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"";"CONN_10"";"1X10";"OUT_MOTOR_DRIVER";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"";"CONN_16";"1X16";"IN_MOTOR_DRIVER";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"";"LED3MM";"LED_3MM";"D3";"LED (Generic)";"";
"1";"";"RPI_PICO_IG-SMD";"RPI_PICO";"U4";"";"";
"3";"100R";"RESISTOR0805";"0805";"R13, R16, R19";"Generic Resistor Package";"";
"6";"100n";"C-EUC0805";"C0805";"C1, C2, C3, C4, C5, C14";"CAPACITOR, European symbol";"";
"2";"10K";"RESISTOR0805";"0805";"R39, R66";"Generic Resistor Package";"";
"3";"10n";"C-EUC0805";"C0805";"C6, C7, C8";"CAPACITOR, European symbol";"";
"2";"10uF";"C-EUC0805";"C0805";"C13, C17";"CAPACITOR, European symbol";"";
"5";"1K";"RESISTOR0805";"0805";"R2, R4, R6, R8, R10";"Generic Resistor Package";"";
"1";"1K2";"RESISTOR0805";"0805";"R40";"Generic Resistor Package";"";
"5";"22K";"RESISTOR0805";"0805";"R1, R3, R5, R7, R9";"Generic Resistor Package";"";
"2";"22uF";"C-EUC0805";"C0805";"C15, C16";"CAPACITOR, European symbol";"";
"3";"2K2";"RESISTOR0805";"0805";"R11, R14, R17";"Generic Resistor Package";"";
"5";"33R";"RESISTOR0805";"0805";"R20, R21, R22, R24, R29";"Generic Resistor Package";"";
"1";"36K1";"RESISTOR0805";"0805";"R38";"Generic Resistor Package";"";
"1";"AP62200WU-7";"AP62200WU-7";"SOT95P280X100-6N";"U6";"Switching Voltage Regulators DCDC Conv HV Buck TSOT26 T&R 3K";"";
"1";"ATE1D-5M3-10-Z";"ATE1D-5M3-10-Z";"SPDT05_ATE1D_9P5X8_NDC";"U3";"";"";
"2";"BAT54S";"BAT54S";"SOT23";"D1, D2";"Schottky Diodes";"";
"1";"BZT52C3V6-7-F";"BZT52C3V6-7-F";"SOD3716X135N";"Z1";"Diodes Inc BZT52C3V6-7-F Zener Diode, 3.6V 6% 500 mW SMT 2-Pin SOD-123";"";
"1";"Display";"OLED_LCD";"OLED_LCD";"DISPLAY";"";"";
"1";"LM4040BIM3-2.0/NOPB";"LM4040BIM3-2.0/NOPB";"DBZ3";"U2";"";"";
"1";"MCP6001T-I_LT";"MCP6001T-I_LT";"SOT65P210X110-5N";"U5";"Microchip MCP6001T-I/LT Low Power Op Amp, 1MHz Rail-Rail, 1.8  6 V, 5-Pin SC-70";"";
"1";"MCP6002T-I/SN";"MCP6002T-I/SN";"SOIC8-N_MC_MCH";"U1";"";"";
"5";"MOMENTARY-SWITCH-SPST-SMD-5.2MM";"MOMENTARY-SWITCH-SPST-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"S1, S2, S3, S4, S5";"Momentary Switch (Pushbutton) - SPST";"";
"5";"N.C.";"C-EUC0805";"C0805";"C9, C10, C11, C12, C18";"CAPACITOR, European symbol";"";
"16";"N.C.";"RESISTOR0805";"0805";"R12, R15, R18, R23, R25, R26, R27, R28, R30, R31, R32, R33, R34, R35, R36, R37";"Generic Resistor Package";"";
"2";"OSTVN03A150";"OSTVN03A150";"OSTVN03A150";"TRIGGER_1, TRIGGER_2";"OSTVN03A150";"";
"1";"OSTVN04A150";"OSTVN04A150";"OSTVN04A150";"IR_SENSOR";"Conn Terminal Block 4 POS 2.54mm Solder ST Thru-Hole 6A";"";
"1";"PCF8575DB";"PCF8575DB";"SOP65P780X200-24N";"U7";"Interface - I/O Expanders Remote 16B I2C and SMBus I/O Expander";"";
"1";"SRN8040-8R2Y";"SRN8040-8R2Y";"SRN80408R2Y";"L1";"Bourns, SRN8040, 8040 Shielded Wire-wound SMD Inductor with a Ferrite Core, 8.2 uH +/-30% Wire-Wound 4A Idc";"";
"1";"TESTPAD_TPSQPAD1-17";"TESTPAD_TPSQPAD1-17";"TESTPAD_P1-17";"ENA";"Test pad";"";
