"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"5";"";"CAP0805";"0805";"C2, C3, C4, C5, C6";"Capacitor";"";
"1";"";"CONN_05";"1X05";"J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"";"JP1Q";"JP1";"JP1";"JUMPER";"";
"6";"";"LED3MM";"LED3MM";"LED1, LED2, LED3, LED4, LED5, LED6";"LEDs";"";
"1";"";"RPI_PICO_IG-TH";"RPI_PICO_TH";"U8";"";"";
"63";" ";"RESISTOR0805";"0805";"R1, R2, R3, R4, R5, R6, R7, R8, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R65, R66, R67, R68";"Generic Resistor Package";"";
"1";" ";"RESISTORAXIAL-0.3";"AXIAL-0.3";"RSENSE";"Generic Resistor Package";"";
"8";"100n";"1.0UF-0805-25V-(+80/-20%)";"0805";"C1, C7, C8, C9, C10, C11, C12, C13";"1µF ceramic capacitors";"";
"2";"100n 50v X7R/X5R";"CAP0805";"0805";"C20, C58";"Capacitor";"";
"2";"22uF 10V X5R";"CAP0805";"0805";"C16, C62";"Capacitor";"";
"2";"2N7002PW";"MOSFET-NCHANNEL2N7002PW";"SOT323";"Q1, Q2";"Common NMOSFET Parts";"";
"2";"4.7uF 50V X5R";"CAP0805";"0805";"C63, C64";"Capacitor";"";
"2";"ACJS-MHDR";"ACJS-MHDR";"CONN_MHDR_AMP";"MACHINE1, MACHINE3";"";"";
"1";"AP63203";"AP63201WU-7";"SOT95P280X100-6N";"U17";"Switching Voltage Regulators DCDC Conv HV Buck TSOT26 T&R 3K";"";
"4";"BAV199";"BAV199";"SOT23";"D2, D4, D5, D7";"DIODE";"";
"2";"Display";"OLED_LCD";"OLED_LCD";"DISPLAY, DISPLAY1";"";"";
"1";"MCP23017SO";"MCP23017SO";"SO28W";"IC1";"http://ww1.microchip.com/downloads/en/DeviceDoc/21952a.pdf";"";
"1";"MMSZ5228B-7-F";"MMSZ5228B-7-F";"SODFL3518X115N";"DZ1";"Diodes Inc MMSZ5228B-7-F Zener Diode, 3.9V 5% 500 mW SMT 2-Pin SOD-123";"";
"2";"MOMENTARY-SWITCH-SPST-SMD-5.2MM";"MOMENTARY-SWITCH-SPST-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"S1, S3";"Momentary Switch (Pushbutton) - SPST";"";
"1";"NRS4018T4R7MDGJ";"NRS4018T4R7MDGJ";"NRS4018T100MDGJ";"L1";"Inductor SMD wirewound 4.7uH";"";
"6";"OPA1641AID";"OPA1641AID";"SOIC127P599X175-8N";"U1, U2, U3, U4, U5, U6";"";"";
"1";"PJRAN1X1U01X";"PJRAN1X1U01X";"PJRAN1X1U01X";"J5";"CONN RCA JACK MONO 3.2MM R/A";"";
"1";"PT01-D120D-B104";"PT01-D120D-B104";"TRIM_PT01-D120D-B104";"R9";"";"";
"2";"STPS1L40U";"STPS1L40U";"SMB_STM";"CR1, CR3";"";"";
"1";"TPIC2810D";"TPIC2810D";"SO16";"U7";"";"";
"9";"TPTP06SQ";"TPTP06SQ";"TP06SQ";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9";"Test pad";"";
