Qty;Value;Device;Package;Parts;Description
8;;CONN_02;1X02;J2, J4, J5, J6, J7, J8, J9, J10;Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections
4;;LED3MM;LED3MM;LED1, LED2, LED3, LED4;LEDs
1;;RPI_PICO_IG-TH;RPI_PICO_TH;U8;
15; ;RESISTOR0805;0805;R24, R25, R26, R28, R29, R32, R33, R34, R36, R37, R38, R39, R40, R46, R69;Generic Resistor Package
2;100mR;RESISTOR1206;1206;RSENSE, RSENSE1;Generic Resistor Package
6;100n;0.1UF-0603-25V-(+80/-20%);0603;C2, C3, C5, C6, C9, C10;0.1µF ceramic capacitors
5;100n;1.0UF-0805-25V-(+80/-20%);0805;C11, C12, C13, C14, C15;1µF ceramic capacitors
6;100n 50v X7R/X5R;CAP0805;0805;C20, C28, C29, C34, C58, C60;Capacitor
1;10K;RESISTOR0805;0805;R42;Generic Resistor Package
1;10k;RESISTOR0805;0805;R66;Generic Resistor Package
1;10nF;CAP0805;0805;C37;Capacitor
2;11K;RESISTOR0805;0805;R3, R43;Generic Resistor Package
4;130R;RESISTOR0805;0805;R35, R63, R65, R68;Generic Resistor Package
3;150;RESISTOR0805;0805;R48, R52, R54;Generic Resistor Package
1;150K;RESISTOR0805;0805;R41;Generic Resistor Package
1;15K;RESISTOR0805;0805;R11;Generic Resistor Package
1;16pF;CAP0805;0805;C38;Capacitor
1;180K;RESISTOR0805;0805;R7;Generic Resistor Package
1;1K;RESISTOR0805;0805;R27;Generic Resistor Package
1;1K4;RESISTOR0805;0805;R6;Generic Resistor Package
4;1u;CAP_CERAMIC0603_NO;0603-NO;C1, C4, C7, C8;Ceramic Capacitors
1;22K;RESISTOR0805;0805;R10;Generic Resistor Package
2;22uF 10V X5R;CAP0805;0805;C16, C62;Capacitor
4;22uF 25V X5R;CAP1210;1210;C39, C40, C41, C42;Capacitor
1;25K;RESISTOR0805;0805;R44;Generic Resistor Package
1;2K8;RESISTOR0805;0805;R5;Generic Resistor Package
7;2N7002PW;MOSFET-NCHANNEL2N7002PW;SOT323;Q1, Q2, Q3, Q4, Q5, Q6, Q7;Common NMOSFET Parts
3;2k2;RESISTOR0805;0805;R47, R49, R53;Generic Resistor Package
2;2k4;RESISTOR0805;0805;R14, R20;Generic Resistor Package
1;302-S201;302-S201;SHDR20W66P254_2X10_3300X905X90;J1;CONN HEADER VERT 20POS GOLD
5;33;RESISTOR0805;0805;R55, R56, R57, R59, R61;Generic Resistor Package
4;330R;RESISTOR0805;0805;R31, R62, R64, R67;Generic Resistor Package
1;33n;CAP0805;0805;C30;Capacitor
2;36k;RESISTOR0805;0805;R17, R23;Generic Resistor Package
1;390K;RESISTOR0805;0805;R51;Generic Resistor Package
2;4.7uF 50V X5R;CAP0805;0805;C63, C64;Capacitor
3;4.7uF 50V X7R;CAP1210;1210;C17, C18, C21;Capacitor
1;4.7uH;L74437368047;WE-LHMI;L2;
1;43K;RESISTOR0805;0805;R9;Generic Resistor Package
2;4k3;RESISTOR0805;0805;R16, R22;Generic Resistor Package
1;56K;RESISTOR0805;0805;R50;Generic Resistor Package
1;5K6;RESISTOR0805;0805;R4;Generic Resistor Package
2;5k1;RESISTOR0805;0805;R2, R18;Generic Resistor Package
2;62k;RESISTOR0805;0805;R15, R21;Generic Resistor Package
2;8k2;RESISTOR0805;0805;R13, R19;Generic Resistor Package
1;91K;RESISTOR0805;0805;R8;Generic Resistor Package
2;AGQ200A03;AGQ200A03;RELAY_AGQ_A_PAN;U9, U16;
1;AP63203;AP63201WU-7;SOT95P280X100-6N;U17;Switching Voltage Regulators DCDC Conv HV Buck TSOT26 T&R 3K
1;AP64501SP-13;AP64501SP-13;SOIC127P600X163-9N;U12;Conv DC-DC 3.8V to 40V Synchronous Step Down Single-Out 0.8V to 39V 5A 8-Pin SO EP T/R
1;BAV199;BAV199;SOT23;D7;DIODE
1;Display;OLED_LCD;OLED_LCD;DISPLAY;
1;MCP4725;MCP4725SOT-23;SOT23-6;U2;MCP4725 DAC
4;MCP6071T-E/OT;MCP6071T-E/OT;SOT-23-5_MC_MCH;U1, U3, U5, U6;
1;MMSZ5228B-7-F;MMSZ5228B-7-F;SODFL3518X115N;DZ1;Diodes Inc MMSZ5228B-7-F Zener Diode, 3.9V 5% 500 mW SMT 2-Pin SOD-123
2;MMZ2012Y202BT000;RESISTOR0805-RES;0805;L5, L6;Resistor
3;MOMENTARY-SWITCH-SPST-SMD-5.2MM;MOMENTARY-SWITCH-SPST-SMD-5.2MM;TACTILE_SWITCH_SMD_5.2MM;S3, S4, S5;Momentary Switch (Pushbutton) - SPST
1;N.C;DSMC;DO-214AB;D6;
4;N.C;RESISTOR0805;0805;R30, R45, R58, R60;Generic Resistor Package
2;N.C.;CAP0805;0805;C19, C65;Capacitor
1;NRS4018T4R7MDGJ;NRS4018T4R7MDGJ;NRS4018T100MDGJ;L1;Inductor SMD wirewound 4.7uH
5;NTMS4801NR2G;NTMS4801NR2G;SOIC8_4X5_ONS;U10, U11, U13, U14, U15;
1;OSTVN03A150;OSTVN03A150;OSTVN03A150;J3;OSTVN03A150
5;STPS1L40U;STPS1L40U;SMB_STM;CR1, CR2, CR3, CR4, CR5;
1;TPIC2810D;TPIC2810D;SO16;U7;
